h;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
549;232;100;62.46;-1;0;83.48;150;84.95
550;232;150;92.12;-1;0;114.39;200;114.62
551;233;0;6.24;-1;0;26.21;50;27.4
552;233;50;34.38;-1;0;55.4;100;56.41
553;233;100;63.97;-1;0;84.67;150;85.58
554;233;150;92.33;-1;0;114.23;200;114.46
555;234;0;6.91;-1;0;26.12;50;27.23
556;234;50;32.77;-1;0;55.52;100;56.74
557;234;100;61.7;-1;0;85.28;150;86.48
558;234;150;91.3;-1;0;116.16;200;116.33
559;235;0;7.1;-1;0;26.56;50;27.81
560;235;50;34.96;-1;0;55.46;100;57.01
561;235;100;64.35;-1;0;85.6;150;86.83
562;235;150;93.9;-1;0;116.68;200;117.05
563;236;0;-1;-1;0;-1;50;29.45
564;236;50;-1;-1;0;-1;100;62.38
565;236;100;-1;-1;0;-1;150;96.11
566;236;150;-1;-1;0;-1;200;130.34
567;237;0;-1;-1;0;-1;50;29.57
568;237;50;-1;-1;0;-1;100;62.03
569;237;100;-1;-1;0;-1;150;94.9
570;237;150;-1;-1;0;-1;200;128.58
571;238;0;-1;-1;0;-1;50;29.02
572;238;50;-1;-1;0;-1;100;61.21
573;238;100;-1;-1;0;-1;150;94.13
574;238;150;-1;-1;0;-1;200;128.48
575;239;0;-1;-1;0;-1;50;29.24
576;239;50;-1;-1;0;-1;100;61.46
577;239;100;-1;-1;0;-1;150;94.32
578;239;150;-1;-1;0;-1;200;127.66
579;240;0;8.12;-1;0;28.5;50;29.74
580;240;50;37.15;-1;0;60.97;100;62.31
581;240;100;69.17;-1;0;94.11;150;94.74
582;240;150;101.59;-1;0;126.21;200;126.99
583;241;0;6.91;-1;0;28.31;50;29.24
584;241;50;36.79;-1;0;61.06;100;62.23
585;241;100;69.8;-1;0;93.9;150;95.12
586;241;150;102.21;-1;0;126.85;200;127.35
587;242;0;8.22;-1;0;28.25;50;28.82
588;242;50;36.55;-1;0;61.67;100;62.02
589;242;100;69.31;-1;0;94.28;150;95.59
590;242;150;102.51;-1;0;127.87;200;129.23
591;243;0;8.3;-1;0;28.06;50;29.54
592;243;50;36.79;-1;0;60.87;100;62.46
593;243;100;70.07;-1;0;94.7;150;96.11
594;243;150;102.9;-1;0;128.39;200;129.73
595;244;0;5.11;-1;0;25.78;50;27.21
596;244;50;30.47;-1;0;55.4;100;56.69
597;244;100;60.05;-1;0;85.74;150;86.78
598;244;150;90.66;-1;0;117.86;200;118.48
599;245;0;4.77;-1;0;26.79;50;27.77
600;245;50;30.76;-1;0;56.13;100;57.36
601;245;100;60.48;-1;0;86.75;150;87.8
602;245;150;90.86;-1;0;118.75;200;118.78
603;246;0;4.67;-1;0;25.93;50;27.21
604;246;50;29.91;-1;0;55.28;100;56.52
605;246;100;59.19;-1;0;85.38;150;86.57
606;246;150;89.17;-1;0;116.19;200;116.29
607;247;0;5.25;-1;0;25.48;50;26.72
608;247;50;30.24;-1;0;54.78;100;55.78
609;247;100;59.27;-1;0;85.11;150;86.06
610;247;150;89.43;-1;0;116.02;200;116.27
611;248;0;5.2;-1;0;25.74;50;27.15
612;248;50;30.13;-1;0;55.2;100;56.57
613;248;100;59.2;-1;0;85.54;150;86.98
614;248;150;89.7;-1;0;116.14;200;116.42
615;249;0;5.27;-1;0;26.88;50;27.93
616;249;50;31.33;-1;0;57.02;100;58.05
617;249;100;61.51;-1;0;87.43;150;88.55
618;249;150;91.85;-1;0;118.68;200;118.76
619;250;0;4.56;-1;0;26.53;50;27.81
620;250;50;30.37;-1;0;56.86;100;58.14
621;250;100;60.61;-1;0;87.69;150;89.07
622;250;150;91.51;-1;0;119.2;200;119.36
623;251;0;5.31;-1;0;22.82;50;23.96
624;251;50;28.73;-1;0;49.97;100;51.03
625;251;100;56.13;-1;0;77.25;150;78.58
626;251;150;82.74;-1;0;105.69;200;105.74
627;252;0;-1;-1;0;-1;50;24.6
628;252;50;-1;-1;0;-1;100;51.4
629;252;100;-1;-1;0;-1;150;78.87
630;252;150;-1;-1;0;-1;200;106.1
631;253;0;5;-1;0;23.38;50;24.4
632;253;50;27.84;-1;0;50.16;100;51.43
633;253;100;54.89;-1;0;77.16;150;78.49
634;253;150;82.24;-1;0;104.98;200;105.34
635;254;0;5.72;-1;0;23.71;50;24.87
636;254;50;28.58;-1;0;49.8;100;51.28
637;254;100;55.09;-1;0;77.26;150;78.52
638;254;150;82.23;-1;0;104.48;200;104.79
639;255;0;5.25;-1;0;23.95;50;24.88
640;255;50;28.15;-1;0;50.23;100;51.38
641;255;100;54.96;-1;0;77.17;150;78.36
642;255;150;81.28;-1;0;104.89;200;105.19
643;256;0;5.01;-1;0;23.84;50;24.97
644;256;50;29.05;-1;0;50.95;100;52.23
645;256;100;56.11;-1;0;78.25;150;79.66
646;256;150;83.84;-1;0;105.37;200;105.72
647;257;0;5.23;-1;0;23.63;50;24.93
648;257;50;27.76;-1;0;51.28;100;52.38
649;257;100;55.07;-1;0;78.96;150;80.11
650;257;150;82.77;-1;0;106.92;200;107.34
